#TUCAN Gradiometer B-field Measurements
#
#Scan freq: 5000 Hz
#Sample freq: 8.33 Hz
#Range of Fluxgate: 500 μ T
#Fluxgate 1 Serial No. 523
#	 x-offset: 0.5896 ± 0.0015 μ T
#	 y-offset: 0.5861 ± 0.0007 μ T
#	 z-offset: 0.4189 ± 0.0007 μ T
#Date: 2023-01-10 13:47:09.065110
#Start Time: 2023-01-10 13:44:03.010861
#End Time: 2023-01-10 13:46:59.452913
#Experimenters: Emma
#Comments: Square wave coil on, F=0.1Hz, Vpp= 5V, duty=50%, 21,5 ohm resistor in series, FG might have offset?
# 
Time,Bx (μ T),By (μ T),Bz (μ T)
2023-01-10 13:44:55.434471,20.02667510712581,-17.19617507879832,30.100052974296887
2023-01-10 13:44:55.867383,20.03204685908804,-17.198939509044635,30.094681222334657
2023-01-10 13:44:56.256582,20.02446320925901,-17.19909747648728,30.100763941468355
2023-01-10 13:44:56.645040,20.029044997697383,-17.195069306699793,30.09618215302999
2023-01-10 13:44:57.033286,20.028097041468754,-17.195859143913026,30.098552043601558
2023-01-10 13:44:57.419912,20.029360983106926,-17.200361216028455,30.100289963354044
2023-01-10 13:44:57.818448,20.031809870030884,-17.194595404371853,30.10210687945892
2023-01-10 13:44:58.218950,20.02667510712581,-17.193726583437297,30.10526673355434
2023-01-10 13:44:58.619624,20.030861913802255,-17.197280850896846,30.20725102448432
2023-01-10 13:44:59.017867,20.03741861105027,-17.206521946291673,30.797590765862882
2023-01-10 13:44:59.415732,20.035285709535856,-17.198386622995372,30.807070328149166
2023-01-10 13:44:59.816265,20.04595021710793,-17.19854459043802,30.801777572539322
2023-01-10 13:45:00.212640,20.046424195222244,-17.19901849276596,30.802883521472722
2023-01-10 13:45:00.621626,20.047530144155644,-17.19593812763435,30.79980266372968
2023-01-10 13:45:01.027587,20.047925125917573,-17.195622192749056,30.804305455815665
2023-01-10 13:45:01.426693,20.04539724264123,-17.20075613463507,30.80264653241557
2023-01-10 13:45:01.992784,20.04097344690763,-17.194121502043913,30.80904523695881
2023-01-10 13:45:02.392833,20.043106348422043,-17.19735983461817,30.805016422987137
2023-01-10 13:45:02.794629,20.0411314396124,-17.19957137881522,30.80904523695881
2023-01-10 13:45:03.191908,20.04097344690763,-17.198386622995372,30.807149324501555
2023-01-10 13:45:03.594216,20.04429129370783,-17.196806948568906,30.71061578188619
2023-01-10 13:45:04.006980,20.034337753307227,-17.19380556715862,30.130387573613003
